2026-02-08 00:43:23,072 | INFO | dataset_split.dataset_splitter | Fries → Train=200, Val=50, Test=10
2026-02-08 00:43:23,483 | INFO | dataset_split.dataset_splitter | Hot Dog → Train=200, Val=50, Test=10
2026-02-08 00:43:23,853 | INFO | dataset_split.dataset_splitter | ice_cream → Train=200, Val=50, Test=10
2026-02-08 00:43:24,302 | INFO | dataset_split.dataset_splitter | idli → Train=200, Val=50, Test=10
2026-02-08 00:43:24,708 | INFO | dataset_split.dataset_splitter | jalebi → Train=200, Val=50, Test=10
2026-02-08 00:43:25,265 | INFO | dataset_split.dataset_splitter | kaathi_rolls → Train=200, Val=50, Test=10
2026-02-08 00:43:25,749 | INFO | dataset_split.dataset_splitter | kadai_paneer → Train=200, Val=50, Test=10
2026-02-08 00:43:26,341 | INFO | dataset_split.dataset_splitter | kulfi → Train=200, Val=50, Test=10
2026-02-08 00:43:27,072 | INFO | dataset_split.dataset_splitter | masala_dosa → Train=200, Val=50, Test=10
2026-02-08 00:43:27,541 | INFO | dataset_split.dataset_splitter | momos → Train=200, Val=50, Test=10
2026-02-08 00:43:27,916 | INFO | dataset_split.dataset_splitter | omelette → Train=200, Val=50, Test=10
2026-02-08 00:43:28,394 | INFO | dataset_split.dataset_splitter | paani_puri → Train=200, Val=50, Test=10
2026-02-08 00:43:28,769 | INFO | dataset_split.dataset_splitter | pakode → Train=200, Val=50, Test=10
2026-02-08 00:43:29,445 | INFO | dataset_split.dataset_splitter | pav_bhaji → Train=200, Val=50, Test=10
2026-02-08 00:43:30,165 | INFO | dataset_split.dataset_splitter | pizza → Train=200, Val=50, Test=10
2026-02-08 00:43:30,793 | INFO | dataset_split.dataset_splitter | samosa → Train=200, Val=50, Test=10
2026-02-08 00:43:31,159 | INFO | dataset_split.dataset_splitter | Sandwich → Train=200, Val=50, Test=10
2026-02-08 00:43:31,511 | INFO | dataset_split.dataset_splitter | sushi → Train=200, Val=50, Test=10
2026-02-08 00:43:31,870 | INFO | dataset_split.dataset_splitter | Taco → Train=200, Val=50, Test=10
2026-02-08 00:43:32,220 | INFO | dataset_split.dataset_splitter | Taquito → Train=200, Val=50, Test=10
2026-02-08 00:43:32,221 | INFO | dataset_split.dataset_splitter | Dataset split completed successfully
2026-02-08 00:43:32,221 | INFO | dataset_split.dataset_splitter | Total classes in train: 34
2026-02-08 00:43:32,221 | INFO | dataset_split.dataset_splitter | Total classes in val: 34
2026-02-08 00:43:32,222 | INFO | dataset_split.dataset_splitter | Total classes in test: 34
2026-02-08 00:44:19,427 | INFO | dataset_split.dataset_splitter | Dataset splitting started
2026-02-08 00:44:19,428 | INFO | dataset_split.dataset_splitter | Created directory: data_split\train
2026-02-08 00:44:19,429 | INFO | dataset_split.dataset_splitter | Created directory: data_split\val
2026-02-08 00:44:19,430 | INFO | dataset_split.dataset_splitter | Created directory: data_split\test
2026-02-08 00:44:19,780 | INFO | dataset_split.dataset_splitter | apple_pie → Train=200, Val=50, Test=10
2026-02-08 00:44:20,148 | INFO | dataset_split.dataset_splitter | Baked Potato → Train=200, Val=50, Test=10
2026-02-08 00:44:20,769 | INFO | dataset_split.dataset_splitter | burger → Train=200, Val=50, Test=10
2026-02-08 00:44:21,199 | INFO | dataset_split.dataset_splitter | butter_naan → Train=200, Val=50, Test=10
2026-02-08 00:44:21,736 | INFO | dataset_split.dataset_splitter | chai → Train=200, Val=50, Test=10
2026-02-08 00:44:22,405 | INFO | dataset_split.dataset_splitter | chapati → Train=200, Val=50, Test=10
2026-02-08 00:44:22,764 | INFO | dataset_split.dataset_splitter | cheesecake → Train=200, Val=50, Test=10
2026-02-08 00:44:23,120 | INFO | dataset_split.dataset_splitter | chicken_curry → Train=200, Val=50, Test=10
2026-02-08 00:44:23,768 | INFO | dataset_split.dataset_splitter | chole_bhature → Train=200, Val=50, Test=10
2026-02-08 00:44:24,134 | INFO | dataset_split.dataset_splitter | Crispy Chicken → Train=200, Val=50, Test=10
2026-02-08 00:44:24,567 | INFO | dataset_split.dataset_splitter | dal_makhani → Train=200, Val=50, Test=10
2026-02-08 00:44:25,137 | INFO | dataset_split.dataset_splitter | dhokla → Train=200, Val=50, Test=10
2026-02-08 00:44:25,486 | INFO | dataset_split.dataset_splitter | Donut → Train=200, Val=50, Test=10
2026-02-08 00:44:26,245 | INFO | dataset_split.dataset_splitter | fried_rice → Train=200, Val=50, Test=10
2026-02-08 00:44:26,650 | INFO | dataset_split.dataset_splitter | Fries → Train=200, Val=50, Test=10
2026-02-08 00:44:27,079 | INFO | dataset_split.dataset_splitter | Hot Dog → Train=200, Val=50, Test=10
