2026-02-08 00:32:38,491 | INFO | main.dataset_splitter | masala_dosa → Train=200, Val=50, Test=10
2026-02-08 00:32:38,946 | INFO | main.dataset_splitter | momos → Train=200, Val=50, Test=10
2026-02-08 00:32:39,292 | INFO | main.dataset_splitter | omelette → Train=200, Val=50, Test=10
2026-02-08 00:32:39,783 | INFO | main.dataset_splitter | paani_puri → Train=200, Val=50, Test=10
2026-02-08 00:32:40,190 | INFO | main.dataset_splitter | pakode → Train=200, Val=50, Test=10
2026-02-08 00:32:40,675 | INFO | main.dataset_splitter | pav_bhaji → Train=200, Val=50, Test=10
2026-02-08 00:32:41,470 | INFO | main.dataset_splitter | pizza → Train=200, Val=50, Test=10
2026-02-08 00:32:42,078 | INFO | main.dataset_splitter | samosa → Train=200, Val=50, Test=10
2026-02-08 00:32:42,435 | INFO | main.dataset_splitter | Sandwich → Train=200, Val=50, Test=10
2026-02-08 00:32:42,799 | INFO | main.dataset_splitter | sushi → Train=200, Val=50, Test=10
2026-02-08 00:32:43,153 | INFO | main.dataset_splitter | Taco → Train=200, Val=50, Test=10
2026-02-08 00:32:43,506 | INFO | main.dataset_splitter | Taquito → Train=200, Val=50, Test=10
2026-02-08 00:32:43,507 | INFO | main.dataset_splitter | Dataset split completed successfully
2026-02-08 00:32:43,507 | INFO | main.dataset_splitter | Total classes in train: 34
2026-02-08 00:32:43,507 | INFO | main.dataset_splitter | Total classes in val: 34
2026-02-08 00:32:43,507 | INFO | main.dataset_splitter | Total classes in test: 34
2026-02-08 00:32:43,508 | INFO | main | Program finished
2026-02-08 00:43:32,223 | INFO | main | Program started
2026-02-08 00:43:32,223 | INFO | main | Loading food nutrition data
2026-02-08 00:43:32,225 | INFO | main | Total number of food items: 34
2026-02-08 00:43:32,226 | INFO | main | ✅ food_nutrition_data.json saved successfully
2026-02-08 00:43:32,233 | INFO | main.redis | Redis already running
2026-02-08 00:43:32,241 | INFO | main.redis | Connected to Redis
2026-02-08 00:43:32,241 | INFO | main.redis | Stored 'Baked Potato' under key 'food:Baked_Potato'
2026-02-08 00:43:32,242 | INFO | main.redis | Stored 'Crispy Chicken' under key 'food:Crispy_Chicken'
2026-02-08 00:43:32,243 | INFO | main.redis | Stored 'Donut' under key 'food:Donut'
2026-02-08 00:43:32,244 | INFO | main.redis | Stored 'Fries' under key 'food:Fries'
2026-02-08 00:43:32,244 | INFO | main.redis | Stored 'Hot Dog' under key 'food:Hot_Dog'
2026-02-08 00:43:32,245 | INFO | main.redis | Stored 'Sandwich' under key 'food:Sandwich'
2026-02-08 00:43:32,245 | INFO | main.redis | Stored 'Taco' under key 'food:Taco'
2026-02-08 00:43:32,246 | INFO | main.redis | Stored 'Taquito' under key 'food:Taquito'
2026-02-08 00:43:32,246 | INFO | main.redis | Stored 'apple_pie' under key 'food:apple_pie'
2026-02-08 00:43:32,247 | INFO | main.redis | Stored 'burger' under key 'food:burger'
2026-02-08 00:43:32,247 | INFO | main.redis | Stored 'butter_naan' under key 'food:butter_naan'
2026-02-08 00:43:32,248 | INFO | main.redis | Stored 'chai' under key 'food:chai'
2026-02-08 00:43:32,248 | INFO | main.redis | Stored 'chapati' under key 'food:chapati'
2026-02-08 00:43:32,249 | INFO | main.redis | Stored 'cheesecake' under key 'food:cheesecake'
2026-02-08 00:43:32,250 | INFO | main.redis | Stored 'chicken_curry' under key 'food:chicken_curry'
2026-02-08 00:43:32,251 | INFO | main.redis | Stored 'chole_bhature' under key 'food:chole_bhature'
2026-02-08 00:43:32,252 | INFO | main.redis | Stored 'dal_makhani' under key 'food:dal_makhani'
2026-02-08 00:43:32,252 | INFO | main.redis | Stored 'dhokla' under key 'food:dhokla'
2026-02-08 00:43:32,254 | INFO | main.redis | Stored 'fried_rice' under key 'food:fried_rice'
2026-02-08 00:43:32,255 | INFO | main.redis | Stored 'ice_cream' under key 'food:ice_cream'
2026-02-08 00:43:32,255 | INFO | main.redis | Stored 'idli' under key 'food:idli'
2026-02-08 00:43:32,256 | INFO | main.redis | Stored 'jalebi' under key 'food:jalebi'
2026-02-08 00:43:32,257 | INFO | main.redis | Stored 'kaathi_rolls' under key 'food:kaathi_rolls'
2026-02-08 00:43:32,257 | INFO | main.redis | Stored 'kadai_paneer' under key 'food:kadai_paneer'
2026-02-08 00:43:32,258 | INFO | main.redis | Stored 'kulfi' under key 'food:kulfi'
2026-02-08 00:43:32,259 | INFO | main.redis | Stored 'masala_dosa' under key 'food:masala_dosa'
2026-02-08 00:43:32,259 | INFO | main.redis | Stored 'momos' under key 'food:momos'
2026-02-08 00:43:32,260 | INFO | main.redis | Stored 'omelette' under key 'food:omelette'
2026-02-08 00:43:32,260 | INFO | main.redis | Stored 'paani_puri' under key 'food:paani_puri'
2026-02-08 00:43:32,261 | INFO | main.redis | Stored 'pakode' under key 'food:pakode'
2026-02-08 00:43:32,262 | INFO | main.redis | Stored 'pav_bhaji' under key 'food:pav_bhaji'
2026-02-08 00:43:32,262 | INFO | main.redis | Stored 'pizza' under key 'food:pizza'
2026-02-08 00:43:32,263 | INFO | main.redis | Stored 'samosa' under key 'food:samosa'
2026-02-08 00:43:32,264 | INFO | main.redis | Stored 'sushi' under key 'food:sushi'
2026-02-08 00:43:32,264 | INFO | main.redis | All food items stored in Redis
2026-02-08 00:43:32,264 | INFO | main | Program started
2026-02-08 00:43:32,264 | INFO | main.dataset_splitter | Dataset splitting started
2026-02-08 00:43:32,266 | INFO | main.dataset_splitter | Created directory: data_split\train
2026-02-08 00:43:32,267 | INFO | main.dataset_splitter | Created directory: data_split\val
2026-02-08 00:43:32,268 | INFO | main.dataset_splitter | Created directory: data_split\test
2026-02-08 00:43:32,622 | INFO | main.dataset_splitter | apple_pie → Train=200, Val=50, Test=10
2026-02-08 00:43:32,999 | INFO | main.dataset_splitter | Baked Potato → Train=200, Val=50, Test=10
2026-02-08 00:43:33,649 | INFO | main.dataset_splitter | burger → Train=200, Val=50, Test=10
2026-02-08 00:43:34,070 | INFO | main.dataset_splitter | butter_naan → Train=200, Val=50, Test=10
2026-02-08 00:43:34,702 | INFO | main.dataset_splitter | chai → Train=200, Val=50, Test=10
2026-02-08 00:43:35,490 | INFO | main.dataset_splitter | chapati → Train=200, Val=50, Test=10
2026-02-08 00:43:35,846 | INFO | main.dataset_splitter | cheesecake → Train=200, Val=50, Test=10
2026-02-08 00:43:36,205 | INFO | main.dataset_splitter | chicken_curry → Train=200, Val=50, Test=10
2026-02-08 00:43:36,786 | INFO | main.dataset_splitter | chole_bhature → Train=200, Val=50, Test=10
2026-02-08 00:43:37,153 | INFO | main.dataset_splitter | Crispy Chicken → Train=200, Val=50, Test=10
2026-02-08 00:43:37,591 | INFO | main.dataset_splitter | dal_makhani → Train=200, Val=50, Test=10
2026-02-08 00:43:38,103 | INFO | main.dataset_splitter | dhokla → Train=200, Val=50, Test=10
2026-02-08 00:43:38,492 | INFO | main.dataset_splitter | Donut → Train=200, Val=50, Test=10
2026-02-08 00:43:39,383 | INFO | main.dataset_splitter | fried_rice → Train=200, Val=50, Test=10
2026-02-08 00:43:39,732 | INFO | main.dataset_splitter | Fries → Train=200, Val=50, Test=10
2026-02-08 00:43:40,194 | INFO | main.dataset_splitter | Hot Dog → Train=200, Val=50, Test=10
2026-02-08 00:43:40,546 | INFO | main.dataset_splitter | ice_cream → Train=200, Val=50, Test=10
2026-02-08 00:43:40,989 | INFO | main.dataset_splitter | idli → Train=200, Val=50, Test=10
2026-02-08 00:43:41,418 | INFO | main.dataset_splitter | jalebi → Train=200, Val=50, Test=10
2026-02-08 00:43:41,875 | INFO | main.dataset_splitter | kaathi_rolls → Train=200, Val=50, Test=10
2026-02-08 00:43:42,375 | INFO | main.dataset_splitter | kadai_paneer → Train=200, Val=50, Test=10
2026-02-08 00:43:43,032 | INFO | main.dataset_splitter | kulfi → Train=200, Val=50, Test=10
2026-02-08 00:43:43,702 | INFO | main.dataset_splitter | masala_dosa → Train=200, Val=50, Test=10
2026-02-08 00:43:44,242 | INFO | main.dataset_splitter | momos → Train=200, Val=50, Test=10
2026-02-08 00:43:44,601 | INFO | main.dataset_splitter | omelette → Train=200, Val=50, Test=10
2026-02-08 00:43:45,079 | INFO | main.dataset_splitter | paani_puri → Train=200, Val=50, Test=10
2026-02-08 00:43:45,500 | INFO | main.dataset_splitter | pakode → Train=200, Val=50, Test=10
2026-02-08 00:43:46,044 | INFO | main.dataset_splitter | pav_bhaji → Train=200, Val=50, Test=10
2026-02-08 00:43:46,794 | INFO | main.dataset_splitter | pizza → Train=200, Val=50, Test=10
2026-02-08 00:43:47,418 | INFO | main.dataset_splitter | samosa → Train=200, Val=50, Test=10
2026-02-08 00:43:47,766 | INFO | main.dataset_splitter | Sandwich → Train=200, Val=50, Test=10
2026-02-08 00:43:48,122 | INFO | main.dataset_splitter | sushi → Train=200, Val=50, Test=10
2026-02-08 00:43:48,472 | INFO | main.dataset_splitter | Taco → Train=200, Val=50, Test=10
2026-02-08 00:43:48,824 | INFO | main.dataset_splitter | Taquito → Train=200, Val=50, Test=10
2026-02-08 00:43:48,824 | INFO | main.dataset_splitter | Dataset split completed successfully
2026-02-08 00:43:48,824 | INFO | main.dataset_splitter | Total classes in train: 34
2026-02-08 00:43:48,824 | INFO | main.dataset_splitter | Total classes in val: 34
2026-02-08 00:43:48,825 | INFO | main.dataset_splitter | Total classes in test: 34
2026-02-08 00:43:48,825 | INFO | main | Program finished
2026-02-08 00:44:36,483 | INFO | main | Program started
2026-02-08 00:44:36,484 | INFO | main | Loading food nutrition data
2026-02-08 00:44:36,486 | INFO | main | Total number of food items: 34
2026-02-08 00:44:36,486 | INFO | main | ✅ food_nutrition_data.json saved successfully
2026-02-08 00:44:36,494 | INFO | main.redis | Redis already running
2026-02-08 00:44:36,503 | INFO | main.redis | Connected to Redis
2026-02-08 00:44:36,504 | INFO | main.redis | Stored 'Baked Potato' under key 'food:Baked_Potato'
2026-02-08 00:44:36,504 | INFO | main.redis | Stored 'Crispy Chicken' under key 'food:Crispy_Chicken'
2026-02-08 00:44:36,505 | INFO | main.redis | Stored 'Donut' under key 'food:Donut'
2026-02-08 00:44:36,505 | INFO | main.redis | Stored 'Fries' under key 'food:Fries'
2026-02-08 00:44:36,506 | INFO | main.redis | Stored 'Hot Dog' under key 'food:Hot_Dog'
2026-02-08 00:44:36,506 | INFO | main.redis | Stored 'Sandwich' under key 'food:Sandwich'
2026-02-08 00:44:36,507 | INFO | main.redis | Stored 'Taco' under key 'food:Taco'
2026-02-08 00:44:36,507 | INFO | main.redis | Stored 'Taquito' under key 'food:Taquito'
2026-02-08 00:44:36,508 | INFO | main.redis | Stored 'apple_pie' under key 'food:apple_pie'
2026-02-08 00:44:36,508 | INFO | main.redis | Stored 'burger' under key 'food:burger'
2026-02-08 00:44:36,509 | INFO | main.redis | Stored 'butter_naan' under key 'food:butter_naan'
2026-02-08 00:44:36,510 | INFO | main.redis | Stored 'chai' under key 'food:chai'
2026-02-08 00:44:36,510 | INFO | main.redis | Stored 'chapati' under key 'food:chapati'
2026-02-08 00:44:36,511 | INFO | main.redis | Stored 'cheesecake' under key 'food:cheesecake'
2026-02-08 00:44:36,512 | INFO | main.redis | Stored 'chicken_curry' under key 'food:chicken_curry'
2026-02-08 00:44:36,513 | INFO | main.redis | Stored 'chole_bhature' under key 'food:chole_bhature'
2026-02-08 00:44:36,514 | INFO | main.redis | Stored 'dal_makhani' under key 'food:dal_makhani'
2026-02-08 00:44:36,514 | INFO | main.redis | Stored 'dhokla' under key 'food:dhokla'
2026-02-08 00:44:36,515 | INFO | main.redis | Stored 'fried_rice' under key 'food:fried_rice'
2026-02-08 00:44:36,516 | INFO | main.redis | Stored 'ice_cream' under key 'food:ice_cream'
2026-02-08 00:44:36,516 | INFO | main.redis | Stored 'idli' under key 'food:idli'
2026-02-08 00:44:36,517 | INFO | main.redis | Stored 'jalebi' under key 'food:jalebi'
2026-02-08 00:44:36,517 | INFO | main.redis | Stored 'kaathi_rolls' under key 'food:kaathi_rolls'
2026-02-08 00:44:36,518 | INFO | main.redis | Stored 'kadai_paneer' under key 'food:kadai_paneer'
2026-02-08 00:44:36,518 | INFO | main.redis | Stored 'kulfi' under key 'food:kulfi'
2026-02-08 00:44:36,519 | INFO | main.redis | Stored 'masala_dosa' under key 'food:masala_dosa'
2026-02-08 00:44:36,519 | INFO | main.redis | Stored 'momos' under key 'food:momos'
2026-02-08 00:44:36,520 | INFO | main.redis | Stored 'omelette' under key 'food:omelette'
2026-02-08 00:44:36,521 | INFO | main.redis | Stored 'paani_puri' under key 'food:paani_puri'
2026-02-08 00:44:36,521 | INFO | main.redis | Stored 'pakode' under key 'food:pakode'
2026-02-08 00:44:36,522 | INFO | main.redis | Stored 'pav_bhaji' under key 'food:pav_bhaji'
2026-02-08 00:44:36,522 | INFO | main.redis | Stored 'pizza' under key 'food:pizza'
2026-02-08 00:44:36,522 | INFO | main.redis | Stored 'samosa' under key 'food:samosa'
2026-02-08 00:44:36,523 | INFO | main.redis | Stored 'sushi' under key 'food:sushi'
2026-02-08 00:44:36,523 | INFO | main.redis | All food items stored in Redis
2026-02-08 00:44:36,523 | INFO | main | Program started
2026-02-08 00:44:36,524 | INFO | main.dataset_splitter | Dataset splitting started
2026-02-08 00:44:36,525 | INFO | main.dataset_splitter | Created directory: data_split\train
2026-02-08 00:44:36,526 | INFO | main.dataset_splitter | Created directory: data_split\val
2026-02-08 00:44:36,528 | INFO | main.dataset_splitter | Created directory: data_split\test
